06/03/2013 20:09:21 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
06/03/2013 20:09:21 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (09F9C590)
06/03/2013 20:09:21 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
06/03/2013 20:09:21 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (09F9C658)
06/03/2013 20:09:21 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
06/03/2013 20:09:21 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (09F9C720)
06/03/2013 20:09:21 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
06/03/2013 20:09:21 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (09FA4838)
06/03/2013 20:09:21 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
06/03/2013 20:09:21 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (09FA46A8)
06/03/2013 20:09:21 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
06/03/2013 20:09:21 (Std) 	CEGUI::System singleton created. (09B98A18)
06/03/2013 20:09:21 (Std) 	---- CEGUI System initialisation completed ----
06/03/2013 20:09:21 (Std) 	
06/03/2013 20:09:21 (Std) 	Started creation of Scheme from XML specification:
06/03/2013 20:09:21 (Std) 	---- CEGUI GUIScheme name: OgreTray
06/03/2013 20:09:21 (Std) 	Started creation of Imageset from XML specification:
06/03/2013 20:09:21 (Std) 	---- CEGUI Imageset name: OgreTrayImages
06/03/2013 20:09:21 (Std) 	---- Source texture file: OgreTrayImages.png in resource group: (Default)
06/03/2013 20:09:22 (Std) 	Started creation of Font from XML specification:
06/03/2013 20:09:22 (Std) 	---- CEGUI font name: DejaVuSans-10
06/03/2013 20:09:22 (Std) 	----       Font type: FreeType
06/03/2013 20:09:22 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
06/03/2013 20:09:22 (Std) 	---- Real point size: 10
06/03/2013 20:09:22 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
06/03/2013 20:09:22 (Std) 	===== Look and feel parsing completed =====
06/03/2013 20:09:22 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Button' added. (09FA4518)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Default' added. (09FA3AF0)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (09FA3258)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (09FA3A28)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (09FA33E8)
